,year,fedminwage
0,1960,1.0
1,1961,1.15
2,1962,1.15
3,1963,1.25
4,1964,1.25
5,1965,1.25
6,1966,1.25
7,1967,1.4
8,1968,1.6
9,1969,1.6
10,1970,1.6
11,1971,1.6
12,1972,1.6
13,1973,1.6
14,1974,1.6
15,1975,1.6
16,1976,2.3
17,1977,2.3
18,1978,2.3
19,1979,2.9
20,1980,3.1
21,1981,3.35
22,1982,3.35
23,1983,3.35
24,1984,3.35
25,1985,3.35
26,1986,3.35
27,1987,3.35
28,1988,3.35
29,1989,3.35
30,1990,3.35
31,1991,3.8
32,1992,4.25
33,1993,4.25
34,1994,4.25
35,1995,4.25
36,1996,4.25
37,1997,4.75
38,1998,5.15
39,1999,5.15
40,2000,5.15
41,2001,5.15
42,2002,5.15
43,2003,5.15
44,2004,5.15
45,2005,5.15
46,2006,5.15
47,2007,5.15
48,2008,5.85
49,2009,6.55
50,2010,7.25
51,2011,7.25
52,2012,7.25
53,2013,7.25
54,2014,7.25
55,2015,7.25
56,2016,7.25
57,2017,7.25
58,2018,7.25
59,2019,7.25
