"","occupation","2digit occ","decade","1digit occ","mean_distance"
"1","Exec, Admin, and Managerial",1,"1980",1,5.8240140592031
"2","Exec, Admin, and Managerial",1,"1985",1,5.28444714896658
"3","Exec, Admin, and Managerial",1,"1990",1,6.74760405052375
"4","Exec, Admin, and Managerial",1,"1995",1,6.65563276923554
"5","Management",2,"1980",1,9.03690549904174
"6","Management",2,"1985",1,8.21825474211343
"7","Management",2,"1990",1,7.77676081517354
"8","Management",2,"1995",1,7.59049783308231
"9","Professional",3,"1980",1,24.3553821031034
"10","Professional",3,"1985",1,23.8099622288319
"11","Professional",3,"1990",1,20.4296285497161
"12","Professional",3,"1995",1,18.4684946498808
"13","Technicians",4,"1980",2,17.0805763821854
"14","Technicians",4,"1985",2,15.4358990969912
"15","Technicians",4,"1990",2,13.4016432608915
"16","Technicians",4,"1995",2,10.3061847818601
"17","Sales",5,"1980",2,8.17577517875031
"18","Sales",5,"1985",2,7.45222441802054
"19","Sales",5,"1990",2,6.74753084948624
"20","Sales",5,"1995",2,7.36589139142165
"21","Admin",6,"1980",2,8.83389891884327
"22","Admin",6,"1985",2,8.20915183724117
"23","Admin",6,"1990",2,6.62056104887764
"24","Admin",6,"1995",2,7.37593548541009
"25","Cleaning",7,"1980",3,2.18724790874055
"26","Cleaning",7,"1985",3,5.21215825204179
"27","Cleaning",7,"1990",3,4.71045060733694
"28","Cleaning",7,"1995",3,4.16575758462348
"29","Protection",8,"1980",3,1.34314474605035
"30","Protection",8,"1985",3,2.18803858580068
"31","Protection",8,"1990",3,2.090850444439
"32","Protection",8,"1995",3,2.13643368703197
"33","Food prep.",9,"1980",3,3.08259448669132
"34","Food prep.",9,"1985",3,2.82311694799515
"35","Food prep.",9,"1990",3,2.32651623054429
"36","Food prep.",9,"1995",3,2.274813653961
"37","Health supp.",10,"1980",3,1.98609010681044
"38","Health supp.",10,"1985",3,2.13404134426523
"39","Health supp.",10,"1990",3,1.58542704434346
"40","Health supp.",10,"1995",3,1.27857442303602
"41","Building maintenance",11,"1980",3,4.3163629689283
"42","Building maintenance",11,"1985",3,3.50430287506547
"43","Building maintenance",11,"1990",3,3.96972517423644
"44","Building maintenance",11,"1995",3,6.97640754707469
"45","Personal care",12,"1980",3,10.7944394527854
"46","Personal care",12,"1985",3,11.6080214194914
"47","Personal care",12,"1990",3,9.31569218844106
"48","Personal care",12,"1995",3,8.01652493868449
"49","Farm/Fish/Forest",13,"1980",4,3.81328581478374
"50","Farm/Fish/Forest",13,"1985",4,5.03952501170896
"51","Farm/Fish/Forest",13,"1990",4,6.82188916946467
"52","Farm/Fish/Forest",13,"1995",4,8.45164381655803
"53","Mechanic/Repair",14,"1980",5,10.0294985959714
"54","Mechanic/Repair",14,"1985",5,10.5175158481114
"55","Mechanic/Repair",14,"1990",5,10.6960696460882
"56","Mechanic/Repair",14,"1995",5,11.2464935291642
"57","Construction",15,"1980",5,7.06249004377132
"58","Construction",15,"1985",5,7.4534342395069
"59","Construction",15,"1990",5,10.288861027571
"60","Construction",15,"1995",5,10.2838146886486
"61","Extraction",16,"1980",5,17.7387800252752
"62","Extraction",16,"1985",5,13.8155260648663
"63","Extraction",16,"1990",5,10.426199298293
"64","Extraction",16,"1995",5,14.3929126383151
"65","Production",17,"1980",5,10.5482063828522
"66","Production",17,"1985",5,11.7655088260885
"67","Production",17,"1990",5,10.536583248454
"68","Production",17,"1995",5,13.9036148067597
"69","Machinists",18,"1980",6,11.1219049740225
"70","Machinists",18,"1985",6,10.0782325806311
"71","Machinists",18,"1990",6,8.55758898351182
"72","Machinists",18,"1995",6,10.4847386106262
"73","Transport/Material moving",19,"1980",6,8.13595804547392
"74","Transport/Material moving",19,"1985",6,8.60368016176738
"75","Transport/Material moving",19,"1990",6,9.38963953251271
"76","Transport/Material moving",19,"1995",6,9.07170041648873
